lng,lat
-66.749961,18.180555
-67.175597,18.361945
-67.119887,18.455183
-66.932911,18.158345
-67.125135,18.295366
-66.711397,18.402253
-66.671979,18.420412
-66.559696,18.445147
-67.153993,17.991245
-67.153897,18.083361
-66.716683,18.064919
-66.863926,18.412600
-66.832041,18.190607
-66.947389,18.076713
-66.515588,18.295913
-66.712985,18.263085
-66.285875,18.433150
-66.947127,17.963613
-66.578079,18.349416
-66.594127,18.448452
-66.886536,17.985033
-66.792931,18.053539
-66.808999,18.407226
-67.116199,18.134695
-67.015781,18.468320
-66.591616,18.210330
-67.035810,18.003422
-66.869645,18.277102
-66.988776,18.240187
-66.489337,18.422908
-67.079574,18.377637
-67.227022,18.332568
-66.927384,18.434099
-67.132502,18.182055
-67.156039,18.221464
-67.037263,18.107800
-66.959689,18.332929
-66.420557,18.319026
-66.626438,18.382264
-67.098671,18.495510
-66.336556,18.410188
-66.397232,18.423000
-66.391079,18.482370
-66.856319,18.064848
-66.130662,18.248401
-66.219555,17.965770
-66.266683,18.128961
-65.920751,18.014055
-66.046237,18.003025
-66.560065,18.011233
-66.605856,17.992040
-66.614037,18.003222
-65.759623,18.231988
-66.253440,18.289927
-66.428076,18.217946
-66.015479,18.043498
-66.042375,18.218819
-66.073565,18.215308
-66.664116,17.989853
-65.883206,18.323585
-66.616838,18.030831
-66.635622,18.109947
-65.682494,18.252604
-66.151667,18.103624
-65.698711,18.304458
-66.160645,18.177233
-65.634104,18.331178
-65.754042,18.163855
-65.817387,18.352216
-66.252183,18.001317
-65.976167,18.147107
-66.391334,17.995441
-65.439369,18.130096
-66.476916,18.133196
-65.896161,18.069489
-66.357586,18.103800
-65.871189,18.187148
-65.905174,18.438969
-65.723109,18.342888
-65.307720,18.326599
-65.908542,18.224133
-65.978510,18.264076
-66.568105,18.102834
-66.221633,18.225708
-66.326179,18.303910
-66.133615,18.010714
-66.229907,18.155424
-65.821476,18.136782
-66.309833,18.198955
-66.500624,18.060494
-64.973886,18.350449
-64.923479,18.340862
-64.686570,17.743072
-64.745932,17.723541
-64.682933,17.744557
-64.736533,18.338560
-64.786720,18.327294
-64.880695,17.747872
-64.807852,17.768133
-64.750099,17.709936
-64.770760,17.732228
-66.104613,18.465369
-66.094995,18.464460
-66.077838,18.452553
-66.067132,18.441610
-66.056199,18.451159
-66.060135,18.445328
-66.042656,18.450002
-66.045571,18.437179
-66.050105,18.420674
-66.065789,18.421022
-66.088042,18.414292
-66.088555,18.392282
-66.038888,18.409307
-66.012453,18.399192
-66.050602,18.400296
-66.051545,18.345400
-66.072089,18.388011
-66.124234,18.411313
-66.073772,18.395463
-66.212833,18.430696
-66.233101,18.459699
-66.253789,18.427530
-66.182026,18.427448
-66.251527,18.360729
-66.170419,18.321137
-66.187693,18.368414
-66.154564,18.391820
-66.145795,18.416919
-66.164617,18.413286
-66.148839,18.444614
-66.114752,18.433757
-66.117597,18.401521
-66.101232,18.406085
-66.108062,18.368062
-66.119190,18.318884
-65.994099,18.336176
-66.030036,18.444394
-65.992045,18.411261
-65.975819,18.417816
-65.947928,18.410770
-65.941083,18.338161
-72.625754,42.062368
-72.458739,42.364061
-72.524108,42.389941
-72.106598,42.418848
-72.400468,42.279010
-72.954350,42.190144
-72.341433,42.211969
-72.205352,42.128176
-72.968716,42.300281
-72.858192,42.375425
-72.602804,42.154904
-72.562073,42.172602
-72.542713,42.197741
-72.918267,42.465495
-72.751877,42.295008
-72.498111,42.062378
-73.044647,42.193395
-72.686972,42.072925
-72.198187,42.329399
-72.814780,42.457613
-72.500143,42.244949
-72.961564,42.098676
-72.568632,42.356491
-72.417297,42.062946
-72.195412,42.372728
-72.606929,42.385496
-72.688922,42.404278
-72.642448,42.211656
-72.869695,42.286762
-72.713584,42.356301
-72.484579,42.468898
-72.457812,42.183577
-72.321494,42.093596
-72.630588,42.321488
-72.703924,42.328308
-72.638530,42.318882
-72.655018,42.406903
-72.044248,42.350862
-72.308469,42.187794
-72.919017,42.518446
-72.873853,42.160060
-72.417244,42.456968
-72.741588,42.226949
-72.093230,42.387603
-72.581030,42.256208
-72.777353,42.052570
-72.329709,42.197913
-72.361558,42.185727
-72.234411,42.061313
-72.278599,42.293533
-72.194599,42.203642
-72.882235,42.392370
-72.771602,42.153503
-72.793967,42.130446
-72.646494,42.391709
-72.649734,42.125451
-72.235108,42.191868
-72.661817,42.441943
-72.136800,42.359108
-72.420715,42.138499
-72.763572,42.397140
-72.832612,42.178038
-72.943115,42.394315
-72.592027,42.104106
-72.565378,42.134009
-72.580765,42.099958
-72.571130,42.047565
-72.607068,42.121060
-72.560791,42.080692
-72.549726,42.119674
-72.525081,42.094194
-72.511210,42.124978
-72.489135,42.092296
-72.488200,42.118690
-72.509131,42.151860
-72.604468,42.120563
-73.273727,42.448236
-73.116736,42.623799
-73.322175,42.058703
-73.110124,42.312225
-73.195743,42.513163
-73.153335,42.563401
-73.135073,42.481119
-73.335896,42.276338
-73.324283,42.173192
-73.063012,42.425676
-73.378393,42.266496
-73.268033,42.547818
-73.230148,42.297501
-73.269763,42.367858
-73.249199,42.333734
-73.024112,42.350122
-73.257497,42.118094
-73.223105,42.186893
-73.084300,42.698526
-73.113214,42.206683
-73.365492,42.382019
-73.118607,42.107496
-73.022320,42.594166
-73.367483,42.085244
-73.462886,42.109280
-73.234376,42.075469
-73.342543,42.295696
-73.319209,42.292202
-73.202428,42.231590
-73.388044,42.312354
-73.246981,42.671617
-73.031166,42.515272
-72.601530,42.626761
-72.821517,42.513947
-72.191080,42.562408
-72.582249,42.689307
-72.824306,42.572604
-72.889644,42.603776
-72.710956,42.694731
-72.709414,42.496937
-72.609458,42.543889
-72.978933,42.657625
-72.426427,42.613418
-72.823113,42.693275
-72.518753,42.559294
-72.482122,42.563061
-72.985346,42.727772
-72.521689,42.539880
-72.508643,42.624076
-72.327191,42.458551
-72.453876,42.677091
-72.292074,42.605437
-72.192468,42.475621
-72.909148,42.695532
-72.176935,42.679456
-72.726941,42.593338
-72.615403,42.475481
-72.546751,42.466691
-72.555002,42.595280
-72.353213,42.673533
-72.407148,42.556310
-71.816862,42.584925
-71.923442,42.657005
-71.832523,42.676293
-71.575135,42.566573
-71.612027,42.538903
-72.087015,42.602059
-72.031402,42.562243
-71.988737,42.584206
-71.565269,42.611760
-71.568201,42.501908
-72.002878,42.489598
-71.763202,42.519977
-71.490569,42.535931
-71.720464,42.582607
-71.602858,42.670643
-71.640986,42.573654
-71.609577,42.489646
-72.068345,42.542767
-71.695087,42.664828
-71.905440,42.554600
-71.752751,42.669685
-72.055644,42.668160
-71.846006,42.198708
-71.633889,42.384929
-71.532406,42.039991
-71.716157,42.355049
-72.107891,42.180788
-71.968025,42.133935
-71.690005,42.411887
-72.040178,42.209682
-71.752241,42.053072
-72.118818,42.127477
-71.679739,42.203404
-71.850626,42.336372
-72.180144,42.046799
-71.867382,42.375634
-71.675585,42.483569
-71.919217,42.249603
-71.630518,42.106794
-71.777649,42.192246
-71.578779,42.036642
-72.130814,42.319125
-71.646236,42.323342
-71.643348,42.142074
-72.066876,42.267564
-71.692642,42.231309
-71.897051,42.158966
-71.857465,42.116263
-71.877540,42.454125
-71.908907,42.204251
-71.969865,42.388285
-71.714228,42.284767
-72.033908,42.059737
-71.674223,42.175395
-71.685583,42.443970
